origin,target,id1,id2,dir
FS,BYC,1,2,forward
FS,BY,1,3,forward
FS,GCS,1,4,forward
FS,GSS,1,5,forward
FS,MSC,1,6,forward
FS,GSS-4,1,7,forward
FS,GMC,1,9,forward
FS,GSS-3,1,12,forward
BYC,GSS,2,5,forward
BYC,MSC,2,6,forward
BYC,MSC-1,2,8,forward
BY,GSS,3,5,forward
BY,MSC,3,6,forward
BY,GSS-4,3,7,forward
BY,MSC-1,3,8,forward
GCS,MSC-1,4,8,forward
GCS,GSa,4,14,forward
GSS,MSC,5,6,forward
GSS,MSC-1,5,8,forward
GSS,GMC,5,9,forward
MSC,GSS-4,6,7,forward
MSC,GMC,6,9,forward
MSC,GMC-4,6,15,forward
GSS-4,MSC-1,7,8,forward
GSS-4,GMC,7,9,forward
GSS-4,GC,7,10,forward
GSS-4,GMC-4,7,15,forward
MSC-1,GMC,8,9,forward
GMC,GC,9,10,forward
GMC,GSC,9,11,forward
GMC,GSC-7,9,13,forward
GMC,GC-4,9,16,forward
GMC,GSC-2,9,17,forward
GC,GSC-7,10,13,forward
GC,GSC-2,10,17,forward
GC,DG,10,20,forward
GSC,GSS-3,11,12,forward
GSS-3,GC-4,12,16,forward
GSC-7,GSa,13,14,forward
GSC-7,GSa-1,13,18,forward
GSC-7,SaC,13,19,forward
GSC-7,DG,13,20,forward
GSC-7,DS,13,21,forward
GSC-7,GSS-2,13,25,forward
GSa,GMC-4,14,15,forward
GMC-4,GC-4,15,16,forward
GC-4,GSC-2,16,17,forward
GC-4,SaC,16,19,forward
GC-4,DG,16,20,forward
GC-4,DS,16,21,forward
GSC-2,GSa-1,17,18,forward
GSC-2,SaC,17,19,forward
GSC-2,DG,17,20,forward
GSC-2,DS,17,21,forward
GSC-2,GSS-2,17,25,forward
GSC-2,SaC-2,17,26,forward
GSC-2,GSS-1,17,31,forward
GSa-1,RSC,18,22,forward
GSa-1,SaC-2,18,26,forward
SaC,RSC,19,22,forward
SaC,Ya,19,24,forward
SaC,RSC-2,19,27,forward
SaC,Ya-1,19,28,forward
SaC,Ya-2,19,32,forward
DG,YSS,20,23,forward
DS,YSS,21,23,forward
DS,Ya,21,24,forward
RSC,YSS,22,23,forward
RSC,Ya,22,24,forward
RSC,Ya-1,22,28,forward
RSC,Ya-2,22,32,forward
YSS,Ya,23,24,forward
YSS,Ya-1,23,28,forward
YSS,TS,23,29,forward
Ya,GSS-2,24,25,forward
Ya,GC-1,24,30,forward
Ya,GSC-1,24,33,forward
Ya,SCa,24,34,forward
GSS-2,SaC-2,25,26,forward
GSS-2,GSC-1,25,33,forward
SaC-2,RSC-2,26,27,forward
SaC-2,Ya-1,26,28,forward
SaC-2,Ya-2,26,32,forward
RSC-2,Ya-1,27,28,forward
RSC-2,TS,27,29,forward
RSC-2,Ya-2,27,32,forward
Ya-1,GSS-1,28,31,forward
Ya-1,GSC-1,28,33,forward
Ya-1,SCa,28,34,forward
Ya-1,GFS,28,35,forward
TS,GC-1,29,30,forward
GC-1,GSC-1,30,33,forward
GSS-1,Ya-2,31,32,forward
GSS-1,GSC-1,31,33,forward
Ya-2,SCa,32,34,forward
GSC-1,SCa,33,34,forward
GSC-1,GFS,33,35,forward
SCa,PMS,34,36,forward
GFS,PMS,35,36,forward
PMS,BSC,36,37,forward
