name,id,color16,xy,rank
FS,1,#FFB6C1,1:0!,1
BYC,2,#DB7093,2:0!,2
BY,3,#FF1493,2:-1!,2
GSS,4,#5F9EA0,3:0!,3
GSS-1,5,#5F9EA0,3:-1!,3
GCS,6,#9932CC,3:1!,3
GSa,7,#00FFFF,5:0!,5
MSC,8,#1E90FF,4:0!,4
GSS-2,9,#5F9EA0,5:-1!,5
GMC,10,#4169E1,6:0!,6
GC,11,#7B68EE,7:0!,7
GSC,12,#FF4500,8:0!,8
GSS-3,13,#5F9EA0,9:0!,9
GSa-1,14,#00FFFF,9:-1!,9
SaC,15,#FFF68F,10:0!,10
RSC,16,#008B8B,11:0!,11
DG,17,#7FFFAA,11:-1!,11
DS,18,#3CB371,11:1!,11
YSS,19,#DA70D6,12:0!,12
Ya,20,#32CD32,13:0!,13
TS,21,#CD950C,13:-1!,13
GC-1,22,#7B68EE,14:0!,14
GSS-4,23,#5F9EA0,14:-1!,14
GSC-1,24,#FF4500,15:0!,15
SCa,25,#B0C4DE,16:0!,16
GFS,26,#008000,16:-1!,16
PMS,27,#ADFF2F,17:0!,17
BSC,28,#808000,18:0!,18
