nameall,name,id,color16,xy,rank
xFSx,FS,1,#FFB6C1,-1:0!,-1
xBYCx,BYC,2,#DB7093,0:0!,0
xBYx,BY,3,#FF1493,0:-1!,0
xGCSx,GCS,4,#9932CC,-1:0!,-1
xGSax,GSa,5,#00FFFF,-1:-1!,-1
xMSCx,MSC,6,#1E90FF,1:0!,1
xGMCx,GMC,7,#4169E1,2:0!,2
xSaCx,SaC,8,#FFF68F,-1:1!,-1
xRSCx,RSC,9,#008B8B,0:1!,0
xDGx,DG,10,#7FFFAA,0:-2!,0
xDSx,DS,11,#3CB371,0:2!,0
xYSSx,YSS,12,#DA70D6,1:-1!,1
xYax,Ya,13,#32CD32,2:-1!,2
xTSx,TS,14,#CD950C,3:0!,3
xGCx,GC,15,#7B68EE,-1:-2!,-1
xGSSx,GSS,16,#5F9EA0,-1:2!,-1
xGSCx,GSC,17,#FF4500,-1:-3!,-1
xSCax,SCa,18,#B0C4DE,-1:3!,-1
xGFSx,GFS,19,#008000,-1:-4!,-1
xPMSx,PMS,20,#ADFF2F,-1:4!,-1
xBSCx,BSC,21,#808000,-1:-5!,-1
